"Origin","Carrier","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","TotalDelay"
"BZN","DL",5,0,57,0,26,88
"BZN","OO",1064,0,1137,0,541,2742
"BZN","UA",164,0,110,0,189,463
"CAE","DL",389,5,76,0,48,518
"CAE","EV",942,0,355,0,620,1917
"CAK","DL",118,0,0,0,0,118
"CAK","EV",36,0,1026,0,738,1800
"CAK","NK",353,0,210,0,55,618
"CAK","OO",18,0,142,0,305,465
"CAK","WN",394,0,29,0,148,571
"CDC","OO",0,0,110,0,54,164
"CDV","AS",62,0,67,0,774,903
"CHA","DL",610,0,0,0,0,610
"CHA","EV",274,0,1430,0,1015,2719
"CHA","OO",1772,0,89,0,401,2262
"CHO","DL",22,0,0,0,0,22
"CHO","EV",15,0,38,0,107,160
"CHO","OO",1662,0,395,0,1305,3362
"CHS","AA",12,0,60,0,102,174
"CHS","AS",0,0,47,0,46,93
"CHS","B6",322,104,549,0,275,1250
"CHS","DL",264,0,160,0,170,594
"CHS","EV",203,0,835,0,863,1901
"CHS","OO",127,0,66,0,126,319
"CHS","WN",32,80,55,0,198,365
"CID","DL",35,34,20,0,0,89
"CID","EV",32,0,39,0,935,1006
"CID","OO",879,0,211,0,497,1587
"CIU","OO",1,43,90,0,110,244
"CLE","AA",97,0,101,0,518,716
"CLE","B6",373,0,187,0,364,924
"CLE","DL",71,0,0,0,138,209
"CLE","EV",2682,0,2288,0,2470,7440
"CLE","F9",234,0,364,0,310,908
"CLE","NK",437,119,1138,0,584,2278
"CLE","OO",0,0,23,0,240,263
"CLE","UA",950,0,1912,0,518,3380
"CLE","WN",814,67,688,0,483,2052
"CLL","EV",0,82,19,0,138,239
"CLT","AA",13588,615,16143,130,11975,42451
"CLT","B6",278,0,357,0,1158,1793
"CLT","DL",538,0,305,0,569,1412
"CLT","EV",1343,0,412,0,440,2195
"CLT","F9",180,0,109,0,378,667
"CLT","OO",110,1043,435,0,457,2045
"CLT","UA",0,0,180,0,8,188
"CLT","WN",516,0,87,0,300,903
"CMH","AA",231,0,279,0,542,1052
"CMH","DL",189,0,207,0,648,1044
"CMH","EV",85,0,1992,0,1354,3431
"CMH","F9",221,0,196,0,48,465
"CMH","OO",1,0,5,0,54,60
"CMH","UA",244,0,62,0,557,863
"CMH","WN",1078,71,866,0,1839,3854
"CMX","OO",259,186,21,15,271,752
"COD","OO",2,0,74,0,386,462
"COS","AA",1475,30,67,0,122,1694
"COS","DL",0,16,0,0,0,16
"COS","EV",42,0,20,0,275,337
"COS","F9",88,41,254,0,1041,1424
"COS","OO",3454,280,1539,0,833,6106
"CPR","OO",205,0,0,0,105,310
"CRP","EV",3,60,297,0,523,883
"CRP","WN",10,56,445,0,251,762
"CRW","DL",110,0,31,0,0,141
"CRW","EV",868,0,66,0,819,1753
"CSG","EV",211,0,75,0,415,701
"CVG","DL",1370,535,941,0,469,3315
"CVG","F9",196,69,518,0,426,1209
"CVG","OO",1111,201,283,0,2327,3922
"CVG","UA",0,96,442,0,0,538
"CWA","EV",0,0,11,0,127,138
"CWA","OO",162,0,52,0,25,239
"DAB","B6",101,0,4,0,198,303
"DAB","DL",33,0,53,0,168,254
"DAL","DL",62,69,61,0,203,395
"DAL","VX",851,538,3107,0,473,4969
"DAL","WN",9572,1543,5821,0,8841,25777
"DAY","AA",19,0,0,0,126,145
"DAY","DL",377,0,10,0,10,397
"DAY","OO",1320,20,239,0,577,2156
"DAY","WN",3,0,47,0,66,116
"DCA","AA",3094,542,3422,0,4393,11451
"DCA","AS",102,57,672,0,177,1008
"DCA","B6",3287,0,1428,0,2813,7528
"DCA","DL",1581,0,454,0,407,2442
"DCA","EV",546,0,4858,0,2692,8096
"DCA","F9",253,0,252,0,216,721
"DCA","OO",546,0,661,0,324,1531
"DCA","UA",474,0,554,0,462,1490
"DCA","VX",288,163,542,0,94,1087
"DCA","WN",723,205,669,0,1807,3404
"DEN","AA",1581,82,1740,0,1839,5242
"DEN","AS",96,66,586,0,732,1480
"DEN","B6",211,54,190,0,914,1369
"DEN","DL",3391,64,823,0,843,5121
"DEN","F9",3631,75,4256,0,4557,12519
