"","Origin","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
"174","MBS",432,828,58,0,656
"175","MCI",5254,244,5526,0,8173
"176","MCO",23375,1184,23970,180,31255
"177","MDT",158,0,227,0,618
"178","MDW",9871,3011,8770,0,14233
"179","MEI",772,0,112,0,505
"180","MEM",1678,57,2121,0,2641
"181","MFE",328,257,110,0,191
"182","MFR",823,0,1280,0,520
"183","MGM",894,0,122,0,716
"184","MHT",1992,150,3121,0,836
"185","MIA",23714,633,16408,34,15294
"186","MKE",3454,628,4567,0,5104
"187","MKG",66,0,210,0,274
"188","MLB",4,0,61,0,223
"189","MLI",590,178,99,0,574
"190","MLU",1497,0,381,0,1547
"191","MMH",58,0,152,0,283
"192","MOB",2394,0,520,0,1171
"193","MOT",1746,0,64,0,147
"194","MQT",967,0,135,0,253
"195","MRY",587,0,1084,0,1991
"196","MSN",3880,198,1262,0,1560
"197","MSO",1554,729,95,0,430
"198","MSP",16894,1474,19980,0,11855
"199","MSY",4995,496,7848,0,10407
"200","MTJ",375,0,362,0,570
"201","MYR",557,35,1039,0,1882
"202","OAJ",247,19,29,0,248
"203","OAK",10884,1507,8124,18,17411
"204","OGG",5410,1394,1119,10,13067
"205","OKC",2556,132,2034,0,2569
"206","OMA",3034,192,3656,0,2872
"207","OME",9,33,37,0,343
"208","ONT",1978,548,4073,0,8433
"209","ORD",63897,8438,52985,48,56856
"210","ORF",2539,0,252,0,884
"211","ORH",83,6,12,0,335
"212","OTH",0,0,95,0,163
"213","OTZ",221,116,3,0,229
"214","PAH",60,0,320,0,117
"215","PBG",91,0,258,0,169
"216","PBI",6565,614,9581,88,11194
"217","PDX",9668,1646,19653,11,19383
"218","PGD",281,0,58,0,438
"219","PHF",135,0,0,0,89
"220","PHL",11179,748,11605,4,12404
"221","PHX",24938,2539,24990,83,29938
"222","PIA",927,76,147,332,740
"223","PIB",162,0,340,0,206
"224","PIH",393,0,228,0,146
"225","PIT",3032,272,3275,0,4271
"226","PLN",70,0,64,0,151
"227","PNS",278,0,447,0,869
"228","PPG",54,0,0,0,66
"229","PSC",1901,42,690,0,850
"230","PSE",8,0,82,0,93
"231","PSG",0,0,8,0,185
"232","PSP",4397,33,5025,18,6473
"233","PVD",1970,596,1881,0,2303
"234","PWM",153,855,1686,0,1280
"235","RAP",874,0,221,0,329
"236","RDD",28,0,493,0,689
"237","RDM",325,907,3012,0,1428
"238","RDU",10146,215,5876,14,8153
"239","RHI",0,0,100,0,0
"240","RIC",5614,0,2386,0,3413
"241","RKS",905,0,24,0,11
"242","RNO",4884,342,2926,0,5210
"243","ROA",854,0,193,0,715
"244","ROC",1110,49,1117,0,1455
"245","ROW",334,0,16,0,61
"246","RST",475,1171,179,0,1145
"247","RSW",5014,268,7578,0,10025
"248","SAF",592,0,184,0,398
"249","SAN",11548,4353,18675,35,42195
"250","SAT",4206,965,4621,0,6136
"251","SAV",953,193,1147,0,1756
"252","SBA",1042,90,3202,0,4561
"253","SBN",1808,45,161,0,962
"254","SBP",1236,15,3172,4,2342
"255","SCC",38,66,62,0,421
"256","SCE",1231,328,96,0,184
"257","SDF",569,83,1392,0,1442
"258","SEA",38378,9917,44517,42,31241
"259","SFO",56932,4523,30943,42,118162
"260","SGF",46,0,126,0,961
"261","SGU",1609,0,356,0,338
"262","SHV",2401,302,690,0,958
"263","SIT",16,16,134,0,219
"264","SJC",7983,1672,7009,12,18897
"265","SJU",4426,8,2992,25,8533
"266","SLC",21648,4693,20643,30,18645
"267","SMF",9010,642,8166,0,16059
"268","SNA",6809,791,7133,10,14815
"269","SPI",30,0,77,0,314
"270","SPS",717,0,56,0,212
"271","SRQ",1037,0,444,0,862
"272","STL",7639,860,8303,0,9961
"273","STS",21,0,5,0,19
"274","STT",1915,179,801,0,3349
"275","STX",187,0,36,0,242
"276","SUN",55,100,512,0,778
"277","SWF",79,0,304,0,524
"278","SYR",567,136,945,0,895
"279","TLH",407,7,61,0,743
"280","TPA",12701,924,8743,12,18499
"281","TRI",408,0,15,0,720
"282","TTN",576,77,40,0,2527
"283","TUL",2110,0,939,0,1739
"284","TUS",4235,825,5221,14,4924
"285","TVC",699,158,239,0,1641
"286","TWF",477,353,435,0,1508
"287","TXK",28,0,15,0,0
"288","TYR",11,0,19,0,117
"289","TYS",3034,128,897,0,1589
"290","VLD",694,0,194,0,266
"291","VPS",1674,0,221,0,743
"292","WRG",0,0,33,0,193
"293","XNA",1022,0,702,0,1634
"294","YAK",89,168,42,0,483
"295","YUM",0,0,100,50,23
