"","Origin","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","TotalDelay","DLdelay","EVdelay","OOdelay","AAdelay","ASdelay","B6delay","F9delay","HAdelay","NKdelay","UAdelay","VXdelay","WNdelay"
"286","TWF",477,353,435,0,1508,2773,0,0,2773,0,0,0,0,0,0,0,0,0
"287","TXK",28,0,15,0,0,43,0,43,0,0,0,0,0,0,0,0,0,0
"288","TYR",11,0,19,0,117,147,0,147,0,0,0,0,0,0,0,0,0,0
"289","TYS",3034,128,897,0,1589,5648,442,3361,1632,0,0,0,0,0,0,213,0,0
"290","VLD",694,0,194,0,266,1154,0,1154,0,0,0,0,0,0,0,0,0,0
"291","VPS",1674,0,221,0,743,2638,1725,913,0,0,0,0,0,0,0,0,0,0
"292","WRG",0,0,33,0,193,226,0,0,0,0,226,0,0,0,0,0,0,0
"293","XNA",1022,0,702,0,1634,3358,15,1268,2075,0,0,0,0,0,0,0,0,0
"294","YAK",89,168,42,0,483,782,0,0,0,0,782,0,0,0,0,0,0,0
"295","YUM",0,0,100,50,23,173,0,0,173,0,0,0,0,0,0,0,0,0
