"","Origin","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","TotalDelay","DLdelay","EVdelay","OOdelay","AAdelay","ASdelay","B6delay","F9delay","HAdelay","NKdelay","UAdelay","VXdelay","WNdelay"
"67","CRW",978,0,97,0,819,1894,141,1753,0,0,0,0,0,0,0,0,0,0
"68","CSG",211,0,75,0,415,701,0,701,0,0,0,0,0,0,0,0,0,0
"69","CVG",2677,901,2184,0,3222,8984,3315,0,3922,0,0,0,1209,0,0,538,0,0
"70","CWA",162,0,63,0,152,377,0,138,239,0,0,0,0,0,0,0,0,0
"71","DAB",134,0,57,0,366,557,254,0,0,0,0,303,0,0,0,0,0,0
"72","DAL",10485,2150,8989,0,9517,31141,395,0,0,0,0,0,0,0,0,0,4969,25777
"73","DAY",1719,20,296,0,779,2814,397,0,2156,145,0,0,0,0,0,0,0,116
"74","DCA",10894,967,13512,0,13385,38758,2442,8096,1531,11451,1008,7528,721,0,0,1490,1087,3404
"75","DEN",39614,8112,53118,63,49871,150778,5121,0,28883,5242,1480,1369,12519,0,3769,49252,1417,41726
"76","DFW",49351,3373,29235,9,30546,112514,665,12518,5846,85537,685,838,277,0,2210,3938,0,0
"77","DHN",771,0,72,0,327,1170,0,1170,0,0,0,0,0,0,0,0,0,0
"78","DLH",0,13,84,0,235,332,0,0,332,0,0,0,0,0,0,0,0,0
"79","DRO",858,11,153,0,217,1239,0,167,1072,0,0,0,0,0,0,0,0,0
"80","DSM",2464,148,1009,0,1070,4691,310,909,1271,566,0,0,558,0,0,849,0,228
"81","DTW",29415,4203,16951,144,15879,66592,21810,8677,19639,3160,118,896,538,0,8613,1137,0,2004
"82","DVL",961,127,67,0,305,1460,0,0,1460,0,0,0,0,0,0,0,0,0
"83","EAU",294,0,611,0,188,1093,0,0,1093,0,0,0,0,0,0,0,0,0
"84","ECP",519,69,941,0,936,2465,439,1450,0,0,0,0,0,0,0,0,0,576
"85","EGE",1066,186,743,0,5490,7485,15,0,37,5964,0,0,0,0,0,1469,0,0
"86","EKO",715,0,88,4,66,873,0,0,873,0,0,0,0,0,0,0,0,0
"87","ELM",3,0,7,0,10,20,0,20,0,0,0,0,0,0,0,0,0,0
"88","ELP",966,141,827,0,2654,4588,105,373,245,851,0,0,0,0,0,0,0,3014
"89","ERI",588,0,177,0,322,1087,0,463,624,0,0,0,0,0,0,0,0,0
"90","ESC",197,0,72,0,294,563,0,0,563,0,0,0,0,0,0,0,0,0
"91","EUG",768,0,2625,0,1488,4881,0,0,1778,0,0,0,0,0,0,3103,0,0
"92","EVV",185,0,572,0,314,1071,17,985,69,0,0,0,0,0,0,0,0,0
